"greedy", "Tate McRae", "greedy", "131872", "100"
"Standing Next to You", "Jung Kook", "GOLDEN", "206019", "95"
"Si No Estás", "iñigo quintero", "Si No Estás", "184061", "99"
"Cruel Summer", "Taylor Swift", "Lover", "178426", "99"
"My Love Mine All Mine", "Mitski", "The Land Is Inhospitable and So Are We", "137773", "97"
"Seven (feat. Latto) (Explicit Ver.)", "Jung Kook, Latto", "GOLDEN", "183550", "86"
"Is It Over Now? (Taylor's Version) (From The Vault)", "Taylor Swift", "1989 (Taylor's Version)", "229477", "94"
"Houdini", "Dua Lipa", "Houdini", "185917", "87"
"PERRO NEGRO", "Bad Bunny, Feid", "nadie sabe lo que va a pasar mañana", "162767", "97"
"Paint The Town Red", "Doja Cat", "Scarlet", "230480", "89"
"MONACO", "Bad Bunny", "nadie sabe lo que va a pasar mañana", "267194", "98"
"Strangers", "Kenya Grace", "Strangers", "172964", "98"
"HARLEY QUINN", "Fuerza Regida, Marshmello", "Pa las Baby's Y Belikeada", "143327", "92"
"Water", "Tyla", "Water", "200255", "96"
"Lovin On Me", "Jack Harlow", "Lovin On Me", "138411", "82"
"Agora Hills", "Doja Cat", "Scarlet", "265360", "83"
"QLONA", "KAROL G, Peso Pluma", "MAÑANA SERÁ BONITO (BICHOTA SEASON)", "172797", "94"
"Que Onda", "Calle 24, Chino Pacas, Fuerza Regida", "Que Onda", "191466", "94"
"3D (feat. Jack Harlow)", "Jung Kook, Jack Harlow", "3D : The Remixes", "201812", "88"
"I Wanna Be Yours", "Arctic Monkeys", "AM", "183956", "95"
"Now That We Don't Talk (Taylor's Version) (From The Vault)", "Taylor Swift", "1989 (Taylor's Version)", "146436", "92"
"LALA", "Myke Towers", "LA VIDA ES UNA", "197920", "96"
"Daylight", "David Kushner", "Daylight", "212953", "95"
"As It Was", "Harry Styles", "Harry's House", "167303", "95"
"Según Quién", "Maluma, Carin Leon", "Don Juan", "142334", "89"
"vampire", "Olivia Rodrigo", "GUTS", "219724", "95"
"Dance The Night - From Barbie The Album", "Dua Lipa", "Dance The Night (From Barbie The Album)", "176579", "94"
"Prada", "cassö, RAYE, D-Block Europe", "Prada", "132359", "94"
"One Of The Girls (with JENNIE, Lily Rose Depp)", "The Weeknd, JENNIE, Lily-Rose Depp", "The Idol Episode 4 (Music from the HBO Original Series)", "244684", "90"
""Slut!" (Taylor's Version) (From The Vault)", "Taylor Swift", "1989 (Taylor's Version)", "180381", "91"
"Stick Season", "Noah Kahan", "Stick Season", "182346", "90"
"Starboy", "The Weeknd, Daft Punk", "Starboy", "230453", "94"
"What Was I Made For? [From The Motion Picture "Barbie"]", "Billie Eilish", "What Was I Made For? [From The Motion Picture "Barbie"]", "222369", "95"
"LADY GAGA", "Peso Pluma, Gabito Ballesteros, Junior H", "GÉNESIS", "212878", "94"
"Kill Bill", "SZA", "SOS", "153946", "91"
"I Remember Everything (feat. Kacey Musgraves)", "Zach Bryan, Kacey Musgraves", "Zach Bryan", "227195", "93"
"The Night We Met", "Lord Huron", "Strange Trails", "208211", "90"
"IDGAF (feat. Yeat)", "Drake, Yeat", "For All The Dogs", "260111", "94"
"All I Want for Christmas Is You", "Mariah Carey", "Merry Christmas", "241106", "88"
"Another Love", "Tom Odell", "Long Way Down (Deluxe)", "244360", "92"
"fukumean", "Gunna", "a Gift & a Curse", "125040", "94"
"Sweater Weather", "The Neighbourhood", "I Love You.", "240400", "92"
"Lollipop", "Darell", "EVERYBODY GO TO THE DISCOTEK", "199946", "94"
"Anti-Hero", "Taylor Swift", "Midnights", "200690", "93"
"Die For You", "The Weeknd", "Starboy", "260253", "90"
"Columbia", "Quevedo", "Columbia", "186000", "94"
"LALALALA", "Stray Kids", "ROCK-STAR", "182224", "81"
"Lover", "Taylor Swift", "Lover", "221306", "92"
"Last Christmas - Single Version", "Wham!", "The Singles: Echoes from the Edge of Heaven", "265960", "73"
"Snooze", "SZA", "SOS", "201800", "92"
