"HARLEY QUINN", "Fuerza Regida, Marshmello", "Pa las Baby's Y Belikeada", "143327", "92"
"Que Onda", "Calle 24, Chino Pacas, Fuerza Regida", "Que Onda", "191466", "94"
"LOU LOU", "Gabito Ballesteros, Natanael Cano", "LOU LOU", "188000", "90"
"LADY GAGA", "Peso Pluma, Gabito Ballesteros, Junior H", "GÉNESIS", "212878", "94"
"ELOVRGA", "Alex Favela, Grupo Marca Registrada, Joaquin Medina", "ELOVRGA", "194769", "91"
"PERRO NEGRO", "Bad Bunny, Feid", "nadie sabe lo que va a pasar mañana", "162767", "97"
"Y LLORO", "Junior H", "$AD BOYZ 4 LIFE II", "179013", "91"
"Según Quién", "Maluma, Carin Leon", "Don Juan", "142334", "89"
"QLONA", "KAROL G, Peso Pluma", "MAÑANA SERÁ BONITO (BICHOTA SEASON)", "172797", "94"
"Reggaeton Champagne", "Bellakath, Dani Flow", "Kittyponeo", "159170", "88"
"EL AMOR DE SU VIDA", "Grupo Frontera, Grupo Firme", "El Comienzo", "165848", "90"
"SABOR FRESA", "Fuerza Regida", "Pa las Baby's Y Belikeada", "156500", "78"
"Primera Cita", "Carin Leon", "Colmillo De Leche", "186455", "87"
"Skin de Bandida", "Oscar Maydon, Junior H, Gabito Ballesteros", "Skin de Bandida", "176134", "86"
"La Víctima", "Xavi", "La Víctima", "156345", "86"
"Mood Malandro", "Código FN, Gabito Ballesteros", "Mood Malandro", "191558", "87"
"MONACO", "Bad Bunny", "nadie sabe lo que va a pasar mañana", "267194", "98"
"Mi Bello Angel", "Natanael Cano", "Nata Montana", "188666", "88"
"LA PEOPLE", "Peso Pluma, Tito Double P", "GÉNESIS", "153031", "85"
"O Me Voy O Te Vas", "Natanael Cano", "O Me Voy O Te Vas", "242133", "85"
"ROCKSTAR", "Junior H", "$AD BOYZ 4 LIFE II", "168677", "85"
"TQM", "Fuerza Regida", "Pa las Baby's Y Belikeada", "157251", "77"
"Poco A Poco", "Xavi, Los Dareyes De La Sierra", "Poco A Poco", "156040", "85"
"Chupón", "El Gudi, Yeri Mua, Jey F, Alan Dazmel, Oviña", "Chupón", "201084", "84"
"El Azul", "Junior H, Peso Pluma", "El Azul", "187225", "89"
"Mi Kryptonita", "Doble ONE Flow Letal", "Talento De Vida", "188089", "80"
"LALA", "Myke Towers", "LA VIDA ES UNA", "197920", "96"
"Patadas de Ahogado", "LATIN MAFIA, Humbe", "Patadas de Ahogado", "224835", "79"
"Si No Estás", "iñigo quintero", "Si No Estás", "184061", "99"
"Modo DND", "Xavi, Tony Aguirre", "Modo DND", "220298", "78"
"Vete", "Alfredo Olivas", "ALFA & OMEGA", "185240", "83"
"BIPOLAR", "Peso Pluma, Jasiel Nuñez, Junior H", "BIPOLAR", "265045", "87"
"Ella Baila Sola", "Eslabon Armado, Peso Pluma", "DESVELADO", "165671", "86"
"CCC - Remix", "Michelle Maciel, Eden Muñoz, Panter Bélico", "CCC (Remix)", "147877", "85"
"LAGUNAS", "Peso Pluma, Jasiel Nuñez", "GÉNESIS", "231246", "88"
"Rosa Pastel", "Belanova", "Dulce Beat", "185920", "84"
"Fin de Semana", "Oscar Maydon, Junior H", "Fin de Semana", "224920", "87"
"QUE VUELVAS", "Grupo Frontera, Carin Leon", "El Comienzo", "169418", "82"
"Otro Show", "Uzielito Mix, El Bogueto, Dani Flow", "Otro Show", "160800", "83"
"TULUM", "Peso Pluma, Grupo Frontera", "GÉNESIS", "209415", "90"
"un x100to", "Grupo Frontera, Bad Bunny", "El Comienzo", "194563", "86"
"La Bebe - Remix", "Yng Lvcas, Peso Pluma", "La Bebe (Remix)", "234352", "91"
"Ch y la Pizza", "Fuerza Regida, Natanael Cano", "Pa Que Hablen", "136913", "83"
"Yo Todo Lo Doy", "Alfredo Olivas", "ALFA & OMEGA", "202453", "81"
"EXCESOS", "Fuerza Regida", "Pa las Baby's Y Belikeada", "187076", "83"
"RUBICON", "Peso Pluma", "GÉNESIS", "238447", "86"
"QUEMA", "Ryan Castro, Peso Pluma, SOG", "QUEMA", "150618", "88"
"PRC", "Peso Pluma, Natanael Cano", "GÉNESIS", "184066", "81"
"El Precio De La Soledad", "Alfredo Olivas", "Así Es Esto", "186360", "82"
"MI EX TENÍA RAZÓN", "KAROL G", "MAÑANA SERÁ BONITO (BICHOTA SEASON)", "154374", "89"
